Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2010-04-06,284.10693359375,288.693058280603,282.7150528655298,288.693058280603,3702366
2010-04-07,284.82086181640625,288.72887755653795,278.78933220313286,281.947853238152,3024558
2010-04-08,285.3204345703125,288.1934422384652,281.9477639236997,284.08913934590504,4494438
2010-04-09,282.5187683105469,288.33618854848334,281.3231758325293,286.2304941550123,3018012
2010-04-12,284.83868408203125,285.516795183874,281.9835161301925,282.30473123805547,2869882
2010-04-13,292.9580993652344,294.0109470170348,280.96640139466655,285.5168258059489,8404916
2010-04-15,293.2613830566406,297.97241357713574,292.3156001513752,293.3684474764522,4290952
2010-04-16,290.90594482421875,295.5099123163423,289.7460327287742,292.2978480520342,3810958
2010-04-19,289.7816467285156,294.4391341299313,285.78440806611206,289.0856953275689,6947704
2010-04-20,281.76934814453125,297.1694168608973,280.87710828340226,294.4391541725627,12016986
2010-04-21,280.1634216308594,285.1599667300084,278.4681652579338,283.73238241596584,7107490
2010-04-22,280.50238037109375,283.2504835830189,278.73574103605614,281.6265895601538,4751116
2010-04-23,278.4502868652344,282.66165566112016,277.4866632279305,281.25191198647235,4306068
2010-04-26,280.1990661621094,282.3047614653351,278.45028867428255,280.5202813043659,2512548
2010-04-27,280.9842224121094,281.91216510174286,278.7536223647263,280.5024215151561,2621234
2010-04-28,274.9169616699219,279.7886003796487,273.02541738325334,278.3788569397877,2400382
2010-04-29,271.1517028808594,276.68359020518096,269.67057594848666,276.6300470984396,4622964
2010-04-30,273.1681823730469,275.80919946393396,272.15101579524753,273.02541527269574,3690224
2010-05-03,273.6678771972656,275.30961203968235,269.1352931643927,271.6871085457896,2416560
2010-05-04,271.597900390625,276.54090208524,270.09893258898944,276.54090208524,2896028
2010-05-05,273.29315185546875,274.0961679725759,264.1566216363321,267.6720390357186,4371230
2010-05-06,273.77490234375,275.1311245180849,270.95543712224844,274.078277001989,2580872
2010-05-07,264.6026611328125,272.16883770584013,262.31851838192136,270.17022913621014,4267152
